
24002,04,09,10,17,19,20,09
24001,03,07,16,26,27,32,16
23151,01,15,16,20,25,27,05
23150,10,17,25,26,30,33,05
23149,02,10,19,24,26,33,15
23148,03,05,07,09,19,20,08
23147,05,06,14,16,19,32,12
23146,02,03,06,11,20,32,09
23145,07,10,21,22,23,24,11
23144,12,16,17,22,25,27,08
23143,05,07,09,16,23,30,15
23142,02,08,20,21,27,33,14
23141,01,08,11,12,21,23,03
23140,03,04,11,14,30,31,05
23139,12,14,19,21,27,31,11
23138,03,22,28,30,31,33,04
23137,03,12,17,19,23,27,11
23136,03,05,10,21,22,26,10
23135,05,06,11,13,28,30,07
23134,05,08,09,17,22,33,04
23133,04,05,10,14,22,25,03
23132,03,09,11,15,25,27,01
23131,06,07,14,20,26,32,01
23130,04,10,17,22,23,32,16
23129,08,09,12,17,32,33,04
23127,03,08,19,22,26,32,14
23125,11,14,15,27,30,33,04
23124,02,03,17,18,25,30,11
